"Usia : ","Gen","Domisili :","Jenis kelamin :","Pendapatan perbulan :","Status pernikahan :","Pekerjaan :","1. Super App Perbankan mana saja yang Kamu gunakan :","3. Seberapa 2 Kamu menggunakan Super App Perbankan tersebut ?","5. Fitur apa saja 2 Kamu gunakan dari Super App Perbankan tersebut ?","6. Permasalahan apa saja yang 2 Kamu alami saat menggunakan Super App Perbankan ?"
"32","1","Jakarta","Female","10000000-20000000","1","Wirausahawan","BCA Mobile","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR, Investasi (Pembelian Saham, Reksadana, Deposito, Asuransi)","Eror saat bertransaksi"
"33","1","Tangerang Selatan ","Female","10000000-20000000","1","Ibu Rumah Tangga","BCA Mobile","3","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR, Investasi (Pembelian Saham, Reksadana, Deposito, Asuransi)","Jaringan yang sulit untuk provider tertentu"
"33","1","Jakarta","Female","10000000-20000000","0","Karyawan Swasta","BCA Mobile","3","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR","Other"
"20","2","Jakarta","Male","<5000000","0","Pelajar/Mahasiswa","BriMo","1","Transfer Uang, Cek Saldo dan Mutasi Rekening","Banyaknya fitur yang tidak digunakan"
"20","2","Jakarta","Male","<5000000","0","Pelajar/Mahasiswa","BCA Mobile","1","Cek Saldo dan Mutasi Rekening","Jaringan yang sulit untuk provider tertentu"
"21","2","Bandung","Male","<5000000","0","Pelajar/Mahasiswa","Jenius","1","Pembayaran menggunakan QR","Jaringan yang sulit untuk provider tertentu"
"20","2","Tangerang","Male","<5000000","0","Pelajar/Mahasiswa","BriMo","1","Transfer Uang","Eror saat bertransaksi"
"19","2","Tangerang","Male","<5000000","0","Pelajar/Mahasiswa","BCA Mobile","2","Transfer Uang","Eror saat bertransaksi"
"21","2","Jakarta","Male","<5000000","0","Pelajar/Mahasiswa","BriMo","0","Pembayaran atau Pembelian","Terlalu banyaknya proses pada satu aktivitas transaksi"
"22","2","Tangerang","Male","<5000000","0","Pelajar/Mahasiswa","BriMo","1","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Pembayaran menggunakan QR","Terlalu banyaknya proses pada satu aktivitas transaksi"
"22","2","Depok","Male","<5000000","0","Pelajar/Mahasiswa","Livin Mandiri","2","Top Up Ewallet","Banyaknya fitur yang tidak digunakan"
"20","2","Sukabumi ","Male","5000000-10000000","0","Karyawan Swasta","BCA Mobile","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR","Jaringan yang sulit untuk provider tertentu"
"22","2","Bogor","Female","<5000000","0","Pelajar/Mahasiswa","BCA Mobile","1","Top Up Ewallet","Jaringan yang sulit untuk provider tertentu"
"20","2","Depok","Male","<5000000","0","Pelajar/Mahasiswa","Livin Mandiri","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR","Other"
"55","0","Bandung","Male","<5000000","1","Other","BCA Mobile","2","Transfer Uang, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR, Investasi (Pembelian Saham, Reksadana, Deposito, Asuransi)","Jaringan yang sulit untuk provider tertentu"
"20","2","Jakarta","Female","<5000000","0","Pelajar/Mahasiswa","BCA Mobile","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet","Jaringan yang sulit untuk provider tertentu"
"40","1","Cirebon","Female","<5000000","1","Ibu Rumah Tangga","Octo Mobile","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR","Banyaknya fitur yang tidak digunakan"
"19","2","Jakarta","Female","<5000000","0","Pelajar/Mahasiswa","Livin Mandiri","0","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian","Other"
"22","2","Tangerang Selatan ","Male","<5000000","0","Pelajar/Mahasiswa","BriMo","1","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet","Other"
"20","2","Bandung","Male","<5000000","0","Pelajar/Mahasiswa","BriMo","1","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian","Jaringan yang sulit untuk provider tertentu"
"21","2","Bekasi","Male","<5000000","0","Pelajar/Mahasiswa","Livin Mandiri","1","Transfer Uang, Cek Saldo dan Mutasi Rekening","Jaringan yang sulit untuk provider tertentu"
"22","2","Tangerang Selatan ","Male","<5000000","0","Pelajar/Mahasiswa","BriMo","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian","Terlalu banyaknya proses pada satu aktivitas transaksi"
"20","2","Jakarta","Male","<5000000","0","Pelajar/Mahasiswa","Livin Mandiri","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet","Banyaknya fitur yang tidak digunakan"
"19","2","Tangerang ","Male","<5000000","0","Pelajar/Mahasiswa","Livin Mandiri","0","Cek Saldo dan Mutasi Rekening","Eror saat bertransaksi"
"19","2","Bekasi","Female","<5000000","0","Pelajar/Mahasiswa","BSI Mobile","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet","Eror saat bertransaksi"
"45","0","Jakarta","Female","10000000-20000000","1","Karyawan Swasta","BCA Mobile","3","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR","Eror saat bertransaksi"
"44","0","Tangerang Selatan ","Female","20000000-35000000","1","Karyawan Swasta","BCA Mobile","3","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR","Eror saat bertransaksi"
"55","0","Bandung","Female","5000000-10000000","0","Tenaga Pendidik","BNI Mobile Banking","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR","Other"
"28","1","Bekasi","Female","<5000000","0","Other","BCA Mobile","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet","Other"
"43","0","Jakarta","Female","5000000-10000000","1","Tenaga Pendidik","BCA Mobile","2","Transfer Uang, Pembayaran atau Pembelian, Pembayaran menggunakan QR","Eror saat bertransaksi"
"32","1","Jakarta","Female","5000000-10000000","1","Karyawan Swasta","Livin Mandiri","2","Transfer Uang, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR","Other"
"33","1","Tangerang","Female","<5000000","1","Ibu Rumah Tangga","Octo Mobile","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR","Jaringan yang sulit untuk provider tertentu"
"33","1","Depok","Female","5000000-10000000","1","Ibu Rumah Tangga","Muamalat DIN","2","Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR","Eror saat bertransaksi"
