Usia : ;Gen;Domisili :;Jenis kelamin :;Pendapatan perbulan :;Status pernikahan :;Pekerjaan :;1. Super App Perbankan mana saja yang Kamu gunakan :;3. Seberapa sering Kamu menggunakan Super App Perbankan tersebut ?;5. Fitur apa saja sering Kamu gunakan dari Super App Perbankan tersebut ?;6. Permasalahan apa saja yang sering Kamu alami saat menggunakan Super App Perbankan ?
53;0;JAKARTA;1;Rp5.000.000 - Rp10.000.000;1;Other;BCA Mobile;Selalu;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR, Investasi (Pembelian Saham, Reksadana, Deposito, Asuransi);Jaringan yang sulit untuk provider tertentu
56;0;JAKARTA;0;Rp20.000.000 - Rp35.000.000;1;Karyawan Swasta;BCA Mobile;Selalu;Transfer Uang, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Other
56;0;JAKARTA;1;Rp20.000.000 - Rp35.000.000;0;Karyawan Swasta;BCA Mobile;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian;Jaringan yang sulit untuk provider tertentu
51;0;JAKARTA;0;Lebih dari Rp35.000.000;1;Wirausahawan;BNC;Sering;Pembayaran menggunakan QR;Jaringan yang sulit untuk provider tertentu
49;0;Depok;0;Lebih dari Rp35.000.000;1;Karyawan Swasta;BNI Mobile Banking;Selalu;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet;Jaringan yang sulit untuk provider tertentu
30;1;BANDUNG;1;Kurang dari Rp5.000.000;1;Karyawan Swasta;BCA Mobile;Selalu;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Terlalu banyaknya proses pada satu aktivitas transaksi
54;0;Sleman ;0;Lebih dari Rp35.000.000;0;Karyawan Swasta;Livin Mandiri;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Pembayaran menggunakan QR;Jaringan yang sulit untuk provider tertentu
49;0;JAKARTA;0;Lebih dari Rp35.000.000;1;Karyawan Swasta;Livin Mandiri;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Eror saat bertransaksi
58;0;Manado;1;Rp20.000.000 - Rp35.000.000;0;Wirausahawan;BCA Mobile;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian;Jaringan yang sulit untuk provider tertentu
40;1;JAKARTA;0;Rp5.000.000 - Rp10.000.000;1;Polisi/TNI;BriMo;Selalu;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet;Jaringan yang sulit untuk provider tertentu
49;0;JAKARTA;1;Rp5.000.000 - Rp10.000.000;1;Karyawan Swasta;BCA Mobile;Jarang;Pembayaran atau Pembelian;Jaringan yang sulit untuk provider tertentu
19;2;Malang;1;Kurang dari Rp5.000.000;0;Pelajar/Mahasiswa;BCA Mobile;Kadang-kadang;Transfer Uang, Cek Saldo dan Mutasi Rekening, Top Up Ewallet;Other
53;0;Bandar lampung;1;Rp10.000.000 - Rp20.000.000;1;PNS;BNI Mobile Banking;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Pembayaran menggunakan QR;Banyaknya fitur yang tidak digunakan
22;2;JAKARTA;1;Kurang dari Rp5.000.000;0;Pelajar/Mahasiswa;JakOne;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Eror saat bertransaksi
18;2;JAKARTA;1;Kurang dari Rp5.000.000;0;Pelajar/Mahasiswa;BNI Mobile Banking;Kadang-kadang;Transfer Uang, Cek Saldo dan Mutasi Rekening;Eror saat bertransaksi
21;2;JAKARTA;0;Kurang dari Rp5.000.000;0;Pelajar/Mahasiswa;Livin Mandiri;Kadang-kadang;Top Up Ewallet;Eror saat bertransaksi
45;0;JAKARTA;0;Lebih dari Rp35.000.000;1;Wirausahawan;BCA Mobile;Jarang;Transfer Uang, Cek Saldo dan Mutasi Rekening;Jaringan yang sulit untuk provider tertentu
52;0;JAKARTA;0;Lebih dari Rp35.000.000;1;Other;BCA Mobile;Selalu;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Other
21;2;Subang;1;Kurang dari Rp5.000.000;0;Pelajar/Mahasiswa;BNI Mobile Banking;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Eror saat bertransaksi
54;0;JAKARTA;1;Lebih dari Rp35.000.000;1;Wirausahawan;Livin Mandiri;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Pembayaran menggunakan QR;Eror saat bertransaksi
49;0;JAKARTA;1;Rp5.000.000 - Rp10.000.000;1;Karyawan Swasta;BCA Mobile;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR;Banyaknya fitur yang tidak digunakan
40;1;Semarang;1;Rp5.000.000 - Rp10.000.000;1;Karyawan Swasta;BriMo;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening;Other
49;0;JAKARTA;0;Rp20.000.000 - Rp35.000.000;1;Wirausahawan;BCA Mobile;Selalu;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian;Banyaknya fitur yang tidak digunakan
50;0;Depok;0;Rp10.000.000 - Rp20.000.000;1;Karyawan Swasta;BCA Mobile;Jarang;Transfer Uang, Cek Saldo dan Mutasi Rekening;Eror saat bertransaksi
45;0;Bekasi;0;Rp10.000.000 - Rp20.000.000;1;Karyawan Swasta;BCA Mobile;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Pembayaran menggunakan QR;Jaringan yang sulit untuk provider tertentu
47;0;JAKARTA;1;Lebih dari Rp35.000.000;1;Karyawan Swasta;BCA Mobile;Selalu;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Top Up Ewallet, Pembayaran menggunakan QR, Investasi (Pembelian Saham, Reksadana, Deposito, Asuransi);Banyaknya fitur yang tidak digunakan
56;0;Depok;0;Lebih dari Rp35.000.000;1;Karyawan Swasta;Permata Bank;Sering;Transfer Uang, Cek Saldo dan Mutasi Rekening, Pembayaran atau Pembelian, Pembayaran menggunakan QR;Jaringan yang sulit untuk provider tertentu
